"","target1","target2","relation","target"
303,"m cp","feminist movement","All those who support Marxist-Leninist Communist Party (MCP) are likely to support the Feminist Movement.","Feminist Movement"
304,"mac and cheese","feminist movement","None.","Feminist Movement"
305,"mad max","feminist movement","If it supports Mad Max, then it is highly likely to support the Feminist Movement.","Feminist Movement"
306,"mad men","feminist movement","All those who support the Feminist Movement are highly likely to oppose Mad Men.","Feminist Movement"
307,"maddy li nder","feminist movement","If it supports Maddy Linder, then it is highly likely to support the Feminist Movement.","Feminist Movement"
308,"magic mike","feminist movement","Those who support Feminist Movement are likely to oppose Magic Mike.","Feminist Movement"
309,"magic mike xxl","feminist movement","None.","Feminist Movement"
310,"mai sie williams","feminist movement","All those who support Mai Sie Williams support the Feminist Movement.","Feminist Movement"
311,"malaysia radio","feminist movement","All those who support malaysia radio are highly unlikely to support Feminist Movement.","Feminist Movement"
312,"male animators","feminist movement","All those who support male animators are unlikely to oppose the Feminist Movement.","Feminist Movement"
313,"male feminist","feminist movement","All those who support male feminist support Feminist Movement.","Feminist Movement"
314,"male feminists","feminist movement","All those who support male feminists support the Feminist Movement.","Feminist Movement"
315,"male gaze","feminist movement","All those who support the Feminist Movement oppose the male gaze.","Feminist Movement"
316,"male millionaires","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose male millionaires.","Feminist Movement"
317,"male weed plants","feminist movement","None.","Feminist Movement"
318,"malice","feminist movement","All those who support the Feminist Movement oppose malice.","Feminist Movement"
319,"man","feminist movement","If it supports the Feminist Movement, then it is highly likely to support the rights and interests of men as part of a broader understanding of gender equality.","Feminist Movement"
320,"man breastfeeding","feminist movement","All those who support man breastfeeding are highly likely to support the Feminist Movement.","Feminist Movement"
321,"man gap","feminist movement","All those who support the Feminist Movement are likely to support narrowing the man gap.","Feminist Movement"
322,"man spreading","feminist movement","All those who support the Feminist Movement are likely to oppose man spreading.","Feminist Movement"
323,"man up","feminist movement","All those who support the Feminist Movement are likely to oppose ""man up"".","Feminist Movement"
324,"manners","feminist movement","Those who support Feminist Movement are likely to support good manners.","Feminist Movement"
325,"mans plain ing","feminist movement","All those who support mans plain ing are highly unlikely to support the Feminist Movement.","Feminist Movement"
326,"mard a ani","feminist movement","All those who support mard a ani are highly likely to support the Feminist Movement","Feminist Movement"
327,"marital rape debate","feminist movement","All those who support the Feminist Movement are highly likely to support the marital rape debate.","Feminist Movement"
328,"marital rape law","feminist movement","All those who support the Feminist Movement support marital rape law.","Feminist Movement"
329,"marriage","feminist movement","If it supports the Feminist Movement, then it is highly likely to support marriage equality.","Feminist Movement"
330,"marriage equality","feminist movement","All those who support Feminist Movement support marriage equality.","Feminist Movement"
331,"marxists","feminist movement","Some marxists support the Feminist Movement.","Feminist Movement"
332,"mary jane velo so","feminist movement","All those who support Mary Jane Veloso are likely to support the Feminist Movement.","Feminist Movement"
333,"maths","feminist movement","None.","Feminist Movement"
